epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2539.01,0.71809,1.03598,1.07721,0.63602,0.65475,0.69573,0.57859,0.70938,1.09764,1.10279,0.000184055,0.000184055,0.000184055
90,2565.05,0.71736,1.03923,1.09057,0.63262,0.6368,0.69654,0.57474,0.71232,1.09557,1.10969,0.000169908,0.000169908,0.000169908
91,2596.64,0.60624,0.86624,1.00468,0.68061,0.66287,0.70921,0.58876,0.71249,1.07,1.09815,0.000155761,0.000155761,0.000155761
92,2622.7,0.57333,0.81529,0.97548,0.65011,0.66821,0.70457,0.5848,0.70606,1.07899,1.09831,0.000141614,0.000141614,0.000141614
93,2650.45,0.59644,0.81619,0.99208,0.65638,0.65006,0.69214,0.57256,0.71329,1.09246,1.10842,0.000127467,0.000127467,0.000127467
94,2678.03,0.56599,0.77838,0.97385,0.61531,0.71647,0.70309,0.58254,0.69981,1.0859,1.09657,0.00011332,0.00011332,0.00011332
95,2705.32,0.57257,0.78541,0.98632,0.66296,0.66504,0.70695,0.5875,0.70798,1.0829,1.11128,9.91726e-05,9.91726e-05,9.91726e-05
96,2732.26,0.56191,0.7614,0.97761,0.62861,0.67506,0.70781,0.59512,0.68563,1.07494,1.08311,8.50255e-05,8.50255e-05,8.50255e-05
97,2759.41,0.55147,0.74191,0.97696,0.66611,0.68112,0.72194,0.60158,0.68906,1.04393,1.08812,7.08784e-05,7.08784e-05,7.08784e-05
98,2785.91,0.55743,0.75469,0.96183,0.66567,0.6659,0.71158,0.59348,0.68313,1.06444,1.08351,5.67313e-05,5.67313e-05,5.67313e-05
99,2812.75,0.54851,0.74022,0.96507,0.66797,0.66721,0.71353,0.59663,0.68627,1.05928,1.08934,4.25842e-05,4.25842e-05,4.25842e-05
100,2840.29,0.55414,0.7296,0.97191,0.63462,0.69918,0.71451,0.59817,0.68428,1.06172,1.08327,2.84371e-05,2.84371e-05,2.84371e-05
